starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	0	0	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	0
Fri Oct 13 13:58:08 2023	1697198288	0	1	1	1
